BioSample,refGenome,fq1,fq2,Organism,Run,
X07_P02,Ahalleri_AUBY_final_v1.0,X07_P02_R1.fastq.gz,X07_P02_R2.fastq.gz,arabidopsis,43
X04_L,Ahalleri_AUBY_final_v1.0,X04_L_R1.fastq.gz,X04_L_R2.fastq.gz,arabidopsis,44
X04_P,Ahalleri_AUBY_final_v1.0,X04_P_R1.fastq.gz,X04_P_R2.fastq.gz,arabidopsis,45
X04_P01,Ahalleri_AUBY_final_v1.0,X04_P01_R1.fastq.gz,X04_P01_R2.fastq.gz,arabidopsis,46
X04_P02,Ahalleri_AUBY_final_v1.0,X04_P02_R1.fastq.gz,X04_P02_R2.fastq.gz,arabidopsis,47
X11_L,Ahalleri_AUBY_final_v1.0,X11_L_R1.fastq.gz,X11_L_R2.fastq.gz,arabidopsis,48
X11_P,Ahalleri_AUBY_final_v1.0,X11_P_R1.fastq.gz,X11_P_R2.fastq.gz,arabidopsis,49
X11_P01,Ahalleri_AUBY_final_v1.0,X11_P01_R1.fastq.gz,X11_P01_R2.fastq.gz,arabidopsis,50
X11_P02,Ahalleri_AUBY_final_v1.0,X11_P02_R1.fastq.gz,X11_P02_R2.fastq.gz,arabidopsis,51
X08_L,Ahalleri_AUBY_final_v1.0,X08_L_R1.fastq.gz,X08_L_R2.fastq.gz,arabidopsis,52
X08_P,Ahalleri_AUBY_final_v1.0,X08_P_R1.fastq.gz,X08_P_R2.fastq.gz,arabidopsis,53
X08_P01,Ahalleri_AUBY_final_v1.0,X08_P01_R1.fastq.gz,X08_P01_R2.fastq.gz,arabidopsis,54
X08_P02,Ahalleri_AUBY_final_v1.0,X08_P02_R1.fastq.gz,X08_P02_R2.fastq.gz,arabidopsis,55
X14_L,Ahalleri_AUBY_final_v1.0,X14_L_R1.fastq.gz,X14_L_R2.fastq.gz,arabidopsis,56
X14_P,Ahalleri_AUBY_final_v1.0,X14_P_R1.fastq.gz,X14_P_R2.fastq.gz,arabidopsis,57
X14_P01,Ahalleri_AUBY_final_v1.0,X14_P01_R1.fastq.gz,X14_P01_R2.fastq.gz,arabidopsis,58
X14_P02,Ahalleri_AUBY_final_v1.0,X14_P02_R1.fastq.gz,X14_P02_R2.fastq.gz,arabidopsis,59
X06_L,Ahalleri_AUBY_final_v1.0,X06_L_R1.fastq.gz,X06_L_R2.fastq.gz,arabidopsis,60
X06_P,Ahalleri_AUBY_final_v1.0,X06_P_R1.fastq.gz,X06_P_R2.fastq.gz,arabidopsis,61
X06_P01,Ahalleri_AUBY_final_v1.0,X06_P01_R1.fastq.gz,X06_P01_R2.fastq.gz,arabidopsis,62
X06_P02,Ahalleri_AUBY_final_v1.0,X06_P02_R1.fastq.gz,X06_P02_R2.fastq.gz,arabidopsis,63
